HH MM       Wp      kak      lrm      wmq      izn      fur      ebr      tdc      sjg      tuc      hon      cnb   n
02 59    0.095    0.128    0.230  999.000    0.142    0.172    0.093    0.054    0.078    0.154    0.097    0.223   4
03 00    0.079    0.142    0.187  999.000    0.195    0.168    0.085    0.062    0.056    0.111    0.087    0.324   4
03 01    0.084    0.118    0.189  999.000    0.170    0.148    0.096    0.060    0.052    0.126    0.087    0.286   4
03 02    0.072    0.089    0.093  999.000    0.093    0.121    0.084    0.046    0.049    0.110    0.061    0.200   4
03 03    0.076    0.062    0.119  999.000    0.116    0.137    0.117    0.044    0.047    0.097    0.052    0.179   4
03 04    0.075    0.077    0.082  999.000    0.108    0.120    0.076    0.042    0.049    0.133    0.050    0.217   4
03 05    0.077    0.097    0.113  999.000    0.132    0.125    0.080    0.040    0.053    0.133    0.048    0.164   4
03 06    0.072    0.057    0.117  999.000    0.135    0.141    0.077    0.053    0.049    0.109    0.050    0.164   4
03 07    0.077    0.089    0.089  999.000    0.086    0.106    0.087    0.078    0.042    0.099    0.063    0.120   4
03 08    0.095    0.154    0.116  999.000    0.067    0.101    0.100    0.106    0.052    0.120    0.101    0.175   4
03 09    0.122    0.119    0.126  999.000    0.102    0.089    0.078    0.098    0.107    0.205    0.096    0.252   4
03 10    0.286    0.168    0.133  999.000    0.154    0.249    0.186    0.099    0.300    0.558    0.171    0.257   4
03 11    0.355    0.159    0.084  999.000    0.281    0.391    0.250    0.235    0.330    0.606    0.139    0.187   4
03 12    0.190    0.086    0.106  999.000    0.163    0.243    0.148    0.216    0.137    0.258    0.085    0.136   4
03 13    0.118    0.111    0.146  999.000    0.140    0.220    0.084    0.083    0.093    0.212    0.097    0.176   4
03 14    0.104    0.104    0.149  999.000    0.162    0.173    0.065    0.053    0.094    0.203    0.062    0.271   4
03 15    0.087    0.096    0.149  999.000    0.108    0.196    0.086    0.049    0.091    0.123    0.038    0.146   4
03 16    0.111    0.121    0.130  999.000    0.083    0.154    0.117    0.047    0.125    0.157    0.077    0.275   4
03 17    0.148    0.113    0.138  999.000    0.106    0.206    0.121    0.087    0.165    0.217    0.066    0.294   4
03 18    0.256    0.195    0.200  999.000    0.141    0.193    0.144    0.145    0.336    0.400    0.141    0.332   4
03 19    0.329    0.268    0.161  999.000    0.237    0.399    0.289    0.214    0.327    0.486    0.188    0.249   4
03 20    0.257    0.219    0.199  999.000    0.265    0.383    0.251    0.148    0.250    0.380    0.133    0.215   4
03 21    0.180    0.134    0.176  999.000    0.172    0.224    0.175    0.163    0.154    0.229    0.119    0.253   4
03 22    0.189    0.082    0.161  999.000    0.080    0.172    0.088    0.072    0.210    0.385    0.101    0.129   4
